host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1623.68,4.74,4.83,4.87,4.96,4.87,4.91,4.7,f,3.43
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1982.4,4.77,4.92,4.62,4.69,4.85,4.31,4.38,t,1.55
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1623.68,3.89,4.16,3.68,4.79,4.58,4.26,4.05,t,2.35
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,3,1 bath,1,2,1359.36,4.81,4.81,4.74,4.85,4.93,4.93,4.63,f,3.28
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,4,1 bath,2,4,2001.28,4.58,4.61,4.32,4.61,4.61,4.19,4.48,f,3.58
within an hour,1,0.95,t,Entire rental unit,Entire home/apt,4,1 bath,2,4,1434.88,4.17,4.67,4.67,5,5,4.33,4.5,f,0.85
within an hour,1,0.85,f,Entire rental unit,Entire home/apt,5,1 bath,1,2,2322.24,4.89,4.89,4.22,5,5,4.56,4.67,t,1.73
within a day,1,0.85,f,Entire rental unit,Entire home/apt,2,1 bath,1,1,1699.2,4.71,4.86,5,5,5,4.86,4.57,f,0.76
within a day,0.85,0.43,t,Entire rental unit,Entire home/apt,6,1 bath,3,3,4153.6,4.75,5,4.5,4.88,4.75,4.75,4.75,f,1.49
within an hour,1,0.97,t,Private room in rental unit,Private room,2,1 private bath,1,1,1434.88,5,4.86,5,5,5,5,4.71,f,0.73
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1227.2,4.75,4.83,4.92,4.88,5,5,4.75,f,3.06
within an hour,1,0.65,t,Entire rental unit,Entire home/apt,6,1 bath,2,3,2265.6,4.69,4.69,4.77,4.62,4.69,4.38,4.62,f,1.38
N/A,N/A,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,1,1132.8,,,,,,,,f,
N/A,N/A,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,1,944,,,,,,,,f,
within a few hours,0.96,0.62,t,Private room in rental unit,Private room,3,1 shared bath,,1,660.8,4.86,4.93,4.79,4.93,5,4.93,4.79,f,1.53
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,849.6,4.08,4,4,4.08,4.25,3.83,3.75,t,1.49
within an hour,1,0.91,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,2454.4,4.95,4.76,4.76,4.9,5,4.86,4.67,f,2.36
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1227.2,4.5,5,4,5,4.83,4.67,3.83,f,0.71
within an hour,1,1,t,Entire rental unit,Entire home/apt,6,2 baths,2,3,5116.48,5,4.8,5,5,4.8,4.8,4.8,t,0.84
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1548.16,4.25,4.42,4.17,4.92,4.75,5,4.17,t,1.64
N/A,N/A,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,2832,,,,,,,,f,
within an hour,1,0.96,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2643.2,4.66,4.72,4.36,4.62,4.66,4.98,4.66,t,5.26
within a day,0.9,0.5,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1416,,,,,,,,f,
N/A,N/A,0.5,f,Private room in condo,Private room,2,1 shared bath,,1,1416,5,5,4.5,5,5,5,5,f,0.47
within an hour,1,0.93,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2529.92,4.75,5,5,4.83,4.83,5,4.67,f,1.33
N/A,N/A,N/A,f,Entire vacation home,Entire home/apt,4,1 bath,2,3,4153.6,5,5,5,5,5,5,4.86,f,0.94
within a day,0.7,0.16,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1057.28,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2152.32,4.82,4.84,4.91,4.96,4.99,4.75,4.68,t,18.11
within an hour,1,0.88,t,Private room in bed and breakfast,Private room,1,1 shared bath,,1,1321.6,4.25,5,5,3.5,4.25,4.25,3,t,0.43
N/A,N/A,N/A,f,Entire rental unit,Entire home/apt,4,1 bath,1,2,1378.24,4.65,4.7,4.87,4.83,4.61,4.83,4.48,t,2.55
within an hour,0.98,1,t,Entire rental unit,Entire home/apt,4,1 bath,,1,1264.96,4.68,4.86,4.61,4.75,4.82,4.43,4.75,t,3.26
within a day,1,0.4,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1416,4,4,5,5,5,5,5,f,0.16
within a day,0.9,0.74,t,Private room in rental unit,Private room,1,1 shared bath,,1,944,5,4.93,5,5,5,4.87,4.73,f,1.67
within an hour,0.98,1,t,Entire condo,Entire home/apt,2,1 bath,,1,1302.72,4.5,4.6,4.8,4.6,4.7,4.2,4.5,t,1.2
within an hour,1,1,t,Private room in rental unit,Private room,2,1 shared bath,,1,944,4.43,4.66,4.6,4.57,4.56,4.6,4.49,t,7.5
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,6,1 bath,2,1,2529.92,4.84,4.79,4.63,4.89,4.89,4.84,4.63,t,2.1
N/A,N/A,N/A,t,Private room in rental unit,Private room,1,1 shared bath,,1,717.44,4.77,4.77,4.77,4.85,4.85,4.77,4.85,f,1.45
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2454.4,4.91,5,5,4.82,5,4.64,4.64,f,1.33
N/A,N/A,0.63,t,Private room in condo,Private room,2,1 shared bath,,1,944,,,,,,,,f,
within a few hours,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1397.12,5,5,5,5,5,4.75,4.75,f,0.66
within an hour,0.9,0.58,t,Entire rental unit,Entire home/apt,4,1 bath,1,1,1982.4,4.78,4.78,4.89,4.89,4.89,4.89,4.56,f,1.16
within an hour,1,0.93,t,Entire rental unit,Entire home/apt,6,1 bath,2,4,1699.2,4,4.5,4.25,4.75,4.5,4.5,4.25,t,0.64
within an hour,1,0.5,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2643.2,4.75,5,5,5,5,4.75,4.5,f,0.43
within an hour,1,0.75,t,Private room in rental unit,Private room,2,1 shared bath,,1,1095.04,5,5,5,5,5,5,5,f,0.33
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1095.04,4.95,5,5,5,5,4.36,4.73,f,2.66
N/A,N/A,1,t,Entire condo,Entire home/apt,3,1 bath,1,1,1736.96,5,5,5,5,5,5,5,f,0.11
